"","modelo_boosting.importance"
"ApplicantIncome",30.2663012623747
"CoapplicantIncome",12.9585738886757
"Credit_History0",5.67177239700851
"Credit_History1",0.759660753726027
"Dependents0",1.93298288894667
"Dependents1",2.22324540491961
"Dependents2",1.41457283675402
"Dependents3",1.49602682801135
"Education0",1.73115897052998
"Education1",0.13226824814988
"Gender0",1.87976197939159
"Gender1",0
"Loan_Amount_Term",5.00663715403951
"LoanAmount",25.4229465935004
"Married0",1.38836571963314
"Married1",0.0759958149411244
"Property_Area0",1.87375228314169
"Property_Area1",2.0584616140837
"Property_Area2",2.31678437012029
"Self_Employed0",1.11543096609398
"Self_Employed1",0.27530002595814
